Municipality,Latitude,Longitude,Year
Koumassi,"5°18'7.93""N","3°58'36.52""W",2011
Port-Bouët,"5°15'19.52""N","3°59'21.76""W",2012
Attoban,"5°22'48.41""N","3°59'26.32""W",2013
Cocody,"5°21'13.18""N","4° 0'33.01""W",2013
Cocody,"5°20'54.22""N","4° 0'43.04""W",2014
Attoban,"5°22'25.23""N","3°59'14.56""W",2015
Cocody,"5°20'31.91""N","4° 0'35.82""W",2015
Cocody,"5°20'24.39""N","4° 0'35.66""W",2015
Treichville,"5°18'30.74""N","4° 0'41.85""W",2015
Attoban,"5°21'55.00""N","3°58'59.29""W",2015
Cocody,"5°20'56.17""N","3°58'24.52""W",2015
Adjamé,"5°22'10.62""N","4° 1'52.86""W",2015
Yopougon,"5°20'57.08""N","4° 4'29.61""W",2016
Abobo,"5°24'54.81""N","3°59'32.99""W",2016
Koumassi,"5°18'40.84""N","3°58'39.50""W",2016
Treichville,"5°17'0.07""N","4° 0'15.10""W",2017
Cocody,"5°20'35.05""N","3°58'13.86""W",2017
Anani,"5°14'30.67""N","3°52'14.51""W",2017
Adjamé,"5°20'44.25""N","4° 1'46.23""W",2017
Adjamé,"5°22'38.92""N","4° 1'25.49""W",2017
Adjamé,"5°21'30.33""N","4° 1'23.39""W",2017
Cocody,"5°20'10.93""N","4° 0'12.82""W",2018
Yopougon,"5°23'57.95""N","4° 1'24.71""W",2018
Koumassi,"5°17'19.11""N","3°58'6.27""W",2019
Koumassi,"5°18'0.41""N","3°57'20.50""W",2019
Treichville,"5°18'41.38""N","4° 0'15.38""W",2019
Adjamé,"5°20'25.88""N","4° 2'1.18""W",2019
Port-Bouët,"5°16'28.12""N","3°55'32.00""W",2020
Cocody,"5°19'41.65""N","3°56'55.09""W",2020
Abobo,"5°25'16.41""N","4° 0'58.66""W",2020
Koumassi,"5°17'34.03""N","3°57'29.59""W",2020
Port-Bouët,"5°15'51.14""N","3°58'10.29""W",2018
Grand Bassam,"5°14'30.39""N","3°55'4.47""W",2014