Country,Outside prison,Inside prison,Difference between inside prison and outside prison
Albania,4.927489086,175.1180962,170.1906072
Algeria,3.611027826,150.9765138,147.3654859
Andorra,7.142658828,63.51593083,56.373272
Antigua and Barbuda,2.769951618,536.4773722,533.7074206
Argentina,10.41185243,226.9528094,216.540957
Armenia,7.928105667,75.09142152,67.16331586
Australia,10.38888055,174.5175216,164.128641
Austria,11.26561808,101.3053109,90.03969281
Azerbaijan,3.555766378,208.72399,205.1682236
Bahamas,2.828738188,408.2303343,405.4015961
Bangladesh,4.696879024,54.10185249,49.40497346
Barbados,3.911838108,304.5073357,300.5954976
Belgium,14.95502085,91.50447782,76.54945697
Belize,7.356939267,529.2672492,521.91031
Benin,10.87259575,72.04382013,61.17122439
Bermuda,3.151250325,279.9641646,276.8129143
Bhutan,5.865627201,256.0628179,250.1971907
Bolivia,6.834038842,158.1502535,151.3162147
Bosnia and Herzegovina,8.355047785,135.7771195,127.4220717
Brazil,5.681944215,357.8657765,352.1838323
Bulgaria,10.79324231,92.11274612,81.31950381
Canada,11.01104929,103.1519093,92.14086005
Chile,9.760797092,244.0793297,234.3185326
China,6.804010204,350.5767681,343.7727579
Colombia,5.345701284,245.9343859,240.5886846
Comoros,7.287806722,26.44286989,19.15506316
Costa Rica,7.545571481,329.248126,321.7025545
Cote d'Ivoire,13.19486721,73.88237164,60.68750443
Croatia,11.07674349,85.53860144,74.46185795
Cyprus,4.218740542,63.32525151,59.10651096
Czechia,10.61502327,196.9087902,186.2937669
Denmark,8.447870818,67.91551518,59.46764436
Dominica,4.90554355,721.3680927,716.4625491
Dominican Republic,6.329608779,253.4138092,247.0842004
Ecuador,9.406797037,229.0076292,219.6008322
Estonia,12.17677064,187.6062216,175.4294509
Finland,12.99713266,53.2341894,40.23705674
France,12.48851282,186.4357614,173.9472486
Georgia,6.998107366,243.6972729,236.6991656
Germany,9.507900179,75.60851709,66.10061691
Greece,3.497055464,103.9867276,100.4896721
Grenada,4.589452828,388.3859217,383.7964689
Guatemala,5.495840973,150.4026169,144.906776
Guyana,32.62007498,259.9725336,227.3524586
Hungary,13.67615052,172.0655716,158.3894211
Iceland,8.715072933,46.6025832,37.88751027
India,13.79916215,35.02589145,21.2267293
Indonesia,2.992018771,97.98002566,94.98800689
Iran,4.670944624,227.9473236,223.276379
Ireland,8.065870299,82.2734592,74.2075889
Italy,4.998540972,102.7777134,97.7791724
Jamaica,2.916239774,134.6549188,131.738679
Japan,14.20905991,38.17506374,23.96600383
Jordan,2.545684269,198.5804959,196.0348117
Kenya,10.89282245,100.3709688,89.47814632
Kuwait,2.748620197,105.0610673,102.3124471
Latvia,15.78669791,179.0490576,163.2623596
Lebanon,3.308127298,100.3689042,97.06077693
Lithuania,23.87130572,222.4210411,198.5497354
Luxembourg,8.652421549,87.05114255,78.398721
Malaysia,5.853218687,207.1531677,201.2999491
Mali,8.075892072,36.53978836,28.46389629
Malta,4.161664892,171.2169346,167.0552697
Mexico,6.014454506,155.8331771,149.8187226
Moldova,11.71269889,166.0047417,154.2920428
Mongolia,16.73415793,163.5574727,146.8233148
Montenegro,14.46085073,173.5701956,159.1093449
Morocco,7.036060457,236.8517061,229.8156456
Netherlands,9.056826814,68.29804055,59.24121374
New Zealand,10.70027267,204.3879005,193.6876278
Niger,9.059476835,39.41105377,30.35157694
Norway,8.893432533,66.20363166,57.31019913
Palau,13.53031342,522.1932115,508.6628981
Panama,4.727132324,427.6523394,422.925207
Paraguay,6.098729067,221.7430872,215.6443581
Peru,2.924131055,300.349469,297.425338
Philippines,4.278733489,198.8593391,194.5806056
Poland,13.68317299,196.9289774,183.2458044
Portugal,7.969692474,126.6064408,118.6367484
Puerto Rico,5.565747974,305.6517275,300.0859795
Qatar,4.017674292,60.69763082,56.67995652
Romania,8.605847295,106.2663036,97.66045633
Russia,22.77223881,359.1690428,336.396804
Saint Lucia,6.582396503,281.1893104,274.6069139
Saint Vincent and the Grenadines,6.498155536,746.8827141,740.3845586
Saudi Arabia,4.274465476,141.9961738,137.7217083
Serbia,12.5438944,126.2735077,113.7296133
Singapore,6.590485203,204.4848142,197.894329
Slovakia,9.837954672,193.4208684,183.5829137
Slovenia,13.75638391,67.15884414,53.40246023
South Africa,13.49705884,278.1417695,264.6447106
South Korea,19.54200112,105.6098799,86.0678788
Spain,5.753265144,125.2054538,119.4521887
Suriname,24.11584047,228.6007193,204.4848789
Sweden,10.73350648,66.94637545,56.21286897
Switzerland,9.595740134,76.4488886,66.85314847
Tanzania,10.05637001,61.72349876,51.66712875
Thailand,8.628065689,563.3733958,554.7453301
Timor,5.644331033,55.29262559,49.64829455
Turkey,2.832107179,349.4514843,346.6193771
Ukraine,26.34409735,125.1953606,98.85126326
United States,11.67127887,630.1492176,618.4779388
Uruguay,16.51708389,332.9259264,316.4088425
Vietnam,7.945194666,128.2337724,120.2885777
Zimbabwe,23.41172792,141.1357626,117.7240347
World,9.389701744,195.8836295,186.4939278
Average deaths by suicide,9.216933858,195.8836295,186.6666956
Median deaths by suicide,8.075892072,166.0047417,157.9288496